date,EUR,EUR1m,AUD,AUD1m,CAD,CAD1m,CHF,CHF1m,GBP,GBP1m,JPY,JPY1m,NOK,NOK1m,NZD,NZD1m,SEK,SEK1m
2001-11-15,1.1341726210729273,1.1353701874496178,1.929570670525808,1.9333175574620645,1.5880999999999998,1.588625,1.6613,1.661605,0.6982996403756851,0.6993544958003762,122.4,122.185,8.962,8.99875,2.396644697423607,2.4022004155806718,10.556799999999999,10.572049999999999
2001-11-16,1.1308379509216329,1.1320092598357454,1.9140587616039813,1.9177724382731378,1.5901,1.5905850000000001,1.658,1.658245,0.7008690776562938,0.7019243255384637,122.935,122.72,8.9626,8.99925,2.4052916416115453,2.410887568258254,10.6056,10.620750000000001
2001-11-19,1.1375270162666364,1.1387381642402055,1.916994153167833,1.9206746023819439,1.5907,1.591185,1.6596,1.659835,0.7076389626012809,0.7087096877070762,123.13,122.92,9.0084,9.04525,2.4000960038401535,2.4057256269922416,10.6389,10.65425
2001-11-20,1.1321181931393638,1.1333756460241182,1.922522349322311,1.9263186951733582,1.59475,1.59524,1.6489,1.649095,0.704324552753909,0.7053554109576964,122.58,122.371,8.9433,8.981250000000001,2.4093482712926155,2.4150797580090084,10.6509,10.66825
2001-11-21,1.1381743683132255,1.1395427015138824,1.937421292260002,1.941245110731533,1.6012,1.6016325,1.6551,1.65519,0.7058657443354274,0.7068911281628959,123.22,123.005,8.9836,9.0214,2.4387269845140835,2.444569389102109,10.6903,10.70775
2001-11-22,1.1390818999886092,1.1402898616828396,1.9336749492410326,1.9375091305117775,1.5994000000000002,1.5997750000000002,1.661,1.6610500000000001,0.708842814105972,0.7098567154219921,123.91,123.697,8.9954,9.0331,2.437538086532602,2.443106165178408,10.6821,10.69795
2001-11-23,1.1389521640091116,1.1401338517141912,1.9303156066016793,1.9340148930750856,1.5991,1.599415,1.6662,1.6662549999999998,0.7094966121536769,0.710512386007169,124.22,124.01,9.0384,9.07495,2.4369440721335445,2.4425094341926896,10.6419,10.65725
2001-11-26,1.1359763716914688,1.1371454238425283,1.931434089811685,1.9350803754984764,1.5991499999999998,1.599435,1.6638,1.66385,0.708114997875655,0.7092022538447628,124.06,123.85000000000001,9.0356,9.07205,2.423361201987156,2.429100625493411,10.605,10.62055
2001-11-27,1.1319900384876613,1.1331701568307497,1.914425193835551,1.9181660491131074,1.59315,1.593525,1.6571,1.657165,0.7067137809187279,0.70781677454974,123.96,123.765,9.0114,9.05035,2.406738868832732,2.4123706366246114,10.5993,10.61465
2001-11-28,1.1265067027148812,1.1276817682050124,1.9173617102866458,1.9210000265098004,1.5845,1.584875,1.64635,1.646405,0.7011393514461,0.7022397938223965,123.06,122.8285,8.9552,8.99295,2.4140012070006036,2.419871988771794,10.659,10.674150000000001
2001-11-29,1.1267605633802817,1.1280379471965438,1.929943066679533,1.9335283876770821,1.57955,1.5799625,1.6554,1.65538,0.7010164738871364,0.7021658305041902,123.865,123.64699999999999,8.9694,9.0073,2.423361201987156,2.4291596322252316,10.686,10.70205
2001-11-30,1.1155734047300312,1.1168473632629814,1.9162594615310913,1.9197988665123529,1.573,1.573335,1.6415,1.64155,0.7021978793624044,0.7033523531532166,123.48,123.262,8.92085,8.9586,2.398369109005876,2.4040195206385078,10.6515,10.66785
2001-12-03,1.122208506340478,1.1235702568481607,1.9351717464925011,1.9389671315986687,1.5766,1.576975,1.65525,1.6552455000000001,0.7019760626162648,0.7031458746431535,124.155,123.933,8.9635,9.00305,2.4210144050357103,2.42697829067919,10.7058,10.72295
2001-12-04,1.1228385358185493,1.1242018167101357,1.9445794846864366,1.9483040889642407,1.57105,1.57146,1.6531,1.653155,0.7026172492534692,0.7037421488766517,124.175,123.966,8.9562,8.994750000000002,2.428658166363084,2.434482003091792,10.6396,10.65645
2001-12-05,1.1257458065968704,1.1271161605915105,1.9325538699391247,1.9361980157455496,1.5752000000000002,1.575595,1.6592,1.659255,0.7059654076950229,0.7071510651462919,124.135,123.92500000000001,8.9891,9.02655,2.407028523288001,2.4127780726728756,10.5498,10.56655
2001-12-06,1.1169440411035407,1.1182555213866368,1.9280825219319384,1.931703464973773,1.57245,1.5728449999999998,1.6473499999999999,1.647355,0.6999860002799945,0.7011614739816506,124.6,124.39,8.919599999999999,8.956949999999999,2.4006721882127,2.4064492840813383,10.4697,10.48695
2001-12-07,1.1233430689732644,1.1247961307013103,1.9442014192670363,1.9478524828983423,1.5751,1.575585,1.6579000000000002,1.6578450000000002,0.6974716652136007,0.6986655488017885,125.525,125.32400000000001,8.9748,9.01205,2.4122542515981187,2.4180580575739627,10.4888,10.50645
2001-12-10,1.1227124733355787,1.1242302535982394,1.943068104537064,1.9470966063663826,1.5785,1.579075,1.6633,1.663375,0.6967670011148271,0.6980388598233264,126.01,125.798,8.9818,9.02185,2.4128362890577875,2.418993940420179,10.5035,10.5227
2001-12-11,1.1204481792717087,1.1219189301381083,1.9333011116481393,1.9372418867341161,1.57175,1.572325,1.6536,1.653745,0.6951685783802573,0.6964055029962848,126.015,125.81,8.949,8.98805,2.391486308740882,2.397506593143131,10.506,10.52485
2001-12-12,1.1129660545353368,1.1143799589908177,1.9243721735783703,1.9282475931613543,1.5661,1.566605,1.6425999999999998,1.64275,0.6911805363560962,0.6923841208625722,126.01,125.80900000000001,8.9248,8.96135,2.378969906030689,2.3850410227055905,10.4558,10.47385
2001-12-13,1.1190689346463742,1.1205109529945656,1.9277108433734937,1.9315833188464584,1.5704,1.570865,1.6512,1.651265,0.6940106877645915,0.6952386580503422,126.07,125.868,8.9698,9.005999999999998,2.3892008123282764,2.3953243269138644,10.512,10.5299
2001-12-14,1.1063170704723972,1.1077325269040537,1.9236318168702509,1.9275302593337762,1.55995,1.560395,1.6291,1.629095,0.6876160352059411,0.6888214609214365,127.295,127.095,8.8859,8.9231,2.3932033026205577,2.3993185935194403,10.5412,10.55885
2001-12-17,1.108524553818867,1.1100319134175107,1.9323671497584543,1.9367117462148424,1.5689,1.56935,1.63285,1.632795,0.6853070175438596,0.6865609134006391,127.545,127.3215,8.8772,8.9187,2.403557264751833,2.4101031524149237,10.4589,10.47815
2001-12-18,1.1063170704723972,1.1077816119330235,1.940805434255216,1.9450870796034667,1.5745,1.574915,1.6320999999999999,1.632175,0.6860357424621822,0.6872497981203718,127.85,127.63499999999999,8.8447,8.8842,2.398369109005876,2.4046554128793343,10.472,10.490649999999999
2001-12-19,1.1107408641563923,1.1121676703979892,1.9571386632742929,1.9613696479616076,1.5754000000000001,1.5757750000000001,1.6392,1.639145,0.6894174422612892,0.6906005807950886,128.19,127.9735,8.8799,8.918349999999998,2.4122542515981187,2.418423550608536,10.507,10.52505
2001-12-20,1.1111111111111112,1.11255124689181,1.9796100168266852,1.983734566793037,1.57905,1.579385,1.63125,1.631215,0.690321689907497,0.6915653235315475,128.66,128.4425,8.89755,8.93445,2.432498175626368,2.43923261741856,10.592600000000001,10.610850000000001
2001-12-21,1.1246063877642825,1.1260627216935983,1.9648295510364475,1.9690826457460826,1.58575,1.586085,1.6518000000000002,1.6516400000000002,0.6939143709666227,0.6951951586609151,129.585,129.364,8.97325,9.011750000000001,2.4029796948215787,2.4094643760691996,10.6556,10.67515
2001-12-24,1.1402508551881414,1.1418783899514702,1.9656019656019654,1.969669066051867,1.59355,1.593925,1.6936,1.69345,0.6932889628397115,0.6945336727287881,129.945,129.724,9.102,9.1397,2.3954964666427117,2.4017100175324835,10.8199,10.839350000000001
2001-12-25,1.1380448389666553,1.139666077839193,1.9675356615838664,1.971612720056625,1.59505,1.595425,1.6894,1.68925,0.6928326462742924,0.6940347711420342,130.88,130.665,9.0786,9.116299999999999,2.4134186074574635,2.4197256031166066,10.8155,10.83675
2001-12-26,1.1354604292040422,1.136945028707862,1.9733596447952637,1.977261492832427,1.6005500000000001,1.600875,1.687,1.686805,0.6885155604516663,0.6897360380182505,130.89,130.68599999999998,9.082699999999999,9.120199999999999,2.4128362890577875,2.419198761370234,10.7904,10.80985
2001-12-27,1.1326311020500623,1.134072937901001,1.970249236528421,1.9741956830657839,1.59785,1.598185,1.6779,1.677765,0.6891798759476223,0.6905004401940306,131.79,131.5865,9.0273,9.0664,2.4110910186859553,2.417356620535444,10.7032,10.72175
2001-12-28,1.129305477131564,1.1307420494699647,1.9586720203701893,1.9629308363282754,1.5906,1.590905,1.6726999999999999,1.6725149999999998,0.68903741473162,0.6903764968225422,131.115,130.91,9.0299,9.068299999999999,2.407028523288001,2.4133312417795905,10.525,10.54385
2001-12-31,1.1242270938729624,1.1256571023334871,1.9629011679261952,1.9670360170195826,1.593,1.593355,1.6602999999999999,1.6601499999999998,0.6874742197167606,0.6887645286267757,131.66,131.45499999999998,8.9632,9.00055,2.401248649297635,2.4074051783285384,10.481,10.5
2002-01-01,1.1242270938729624,1.125619090499775,1.9621308741293042,1.9661236888412648,1.59225,1.592605,1.6627999999999998,1.6626499999999997,0.6880418329434429,0.6892867605245473,131.65,131.4455,8.9757,9.01305,2.4024024024024024,2.4085648566301767,10.4756,10.4946
2002-01-02,1.1070519207350824,1.108438542625004,1.9426906265177268,1.946631160114306,1.5965500000000001,1.596875,1.6442,1.644025,0.6911805363560962,0.6924009001211702,132.13,131.9245,8.8802,8.9152,2.368826246594812,2.374789237455176,10.2583,10.27615
2002-01-03,1.1124707976415618,1.1139268707009384,1.9400523814142983,1.9439727610536721,1.5981999999999998,1.5985449999999999,1.65055,1.650465,0.6951685783802573,0.6963958035188881,131.8,131.597,8.8975,8.93215,2.3532180256500763,2.359158252335567,10.2792,10.296949999999999
2002-01-04,1.117443289753045,1.1188811188811187,1.920676077979449,1.9245599445572772,1.5956000000000001,1.59593,1.6532,1.65309,0.6909417536101706,0.6921780420359726,131.04,130.8375,8.9256,8.9606,2.3266635644485807,2.3324703193151866,10.3115,10.32935
2002-01-07,1.1196954428395476,1.1211830723779732,1.929570670525808,1.933723932676241,1.5983,1.5986550000000002,1.6496499999999998,1.64949,0.6942515967786727,0.6956037840845855,131.09,130.876,8.9146,8.95195,2.3413720440177945,2.347500498843856,10.3297,10.3489
